,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
108,puerto plata,20,DO,1554359150,94,19.79,-70.69,73.99,4.7
109,katsuura,20,JP,1554357849,47,33.93,134.5,63.0,12.75
110,longyearbyen,40,NO,1554357000,85,78.22,15.63,12.2,4.7
111,port-cartier,90,CA,1554358604,92,50.03,-66.88,28.0,8.05
112,lagos,20,NG,1554354000,94,6.46,3.39,80.6,6.76
113,saint-philippe,40,CA,1554359076,74,45.36,-73.48,32.0,4.7
114,san ignacio,48,CL,1554357600,100,-36.8,-72.03,51.8,3.29
115,taltal,32,CL,1554359207,100,-25.41,-70.49,51.53,0.6
116,la ronge,90,CA,1554354000,85,55.1,-105.3,21.2,10.29
117,bud,0,NO,1554358572,80,62.91,6.91,39.2,11.41
118,dunedin,92,NZ,1554358926,91,-45.87,170.5,50.0,10.0
119,vila franca do campo,75,PT,1554358945,82,37.72,-25.43,55.4,9.17
120,port hardy,75,CA,1554354000,100,50.7,-127.42,41.0,2.24
121,taywarah,24,AF,1554359302,57,33.35,64.42,58.64,2.95
122,qaanaaq,80,GL,1554359074,81,77.48,-69.36,14.09,11.23
123,meulaboh,8,ID,1554359108,100,4.14,96.13,84.47,2.39
124,norman wells,20,CA,1554354000,70,65.28,-126.83,-0.41,3.36
125,zhigansk,32,RU,1554359185,70,66.77,123.37,34.07,3.29
126,ganzhou,100,CN,1554359303,100,25.86,114.93,57.56,3.62
127,krasnyy chikoy,0,RU,1554359127,24,50.36,108.75,33.8,8.32
128,ferme-neuve,8,CA,1554359190,51,46.7,-75.45,22.01,12.01
129,san patricio,88,PY,1554359083,95,-26.98,-56.83,73.04,4.52
130,frankfort,1,US,1554359165,46,38.2,-84.87,54.0,5.82
131,yellowknife,5,CA,1554358919,64,62.45,-114.38,-2.21,5.82
132,marsh harbour,56,BS,1554359305,100,26.54,-77.06,73.22,14.03
133,eyl,0,SO,1554359138,91,7.98,49.82,81.5,6.76
134,chara,20,GR,1554359006,87,39.42,22.43,51.01,2.39
135,yeppoon,20,AU,1554357600,54,-23.13,150.74,82.4,16.11
136,opuwo,8,NA,1554359010,71,-18.06,13.84,61.97,3.85
137,haimen,80,CN,1554359165,59,31.87,121.18,66.0,11.45
138,khatanga,76,RU,1554359139,92,71.98,102.47,21.74,10.45
139,tabuk,12,PH,1554359130,71,17.41,121.44,77.9,2.39
140,greymouth,92,NZ,1554359307,100,-42.45,171.21,57.92,7.54
141,dingle,0,PH,1554359031,35,11.0,122.67,91.94,13.47
142,sao joao da barra,44,BR,1554359022,100,-21.64,-41.05,76.73,12.24
143,haines junction,88,CA,1554359243,65,60.75,-137.51,18.5,2.51
144,yingkou,36,CN,1554359308,44,40.67,122.24,60.98,23.76
145,kirakira,76,SB,1554359136,100,-10.46,161.92,84.2,7.43
146,port hawkesbury,75,CA,1554359158,74,45.62,-61.36,39.0,21.92
147,vaini,0,IN,1554357600,31,15.34,74.49,91.4,2.24
148,middle island,1,US,1554359300,26,40.88,-72.94,46.99,6.93
149,yarega,0,RU,1554359309,75,63.43,53.58,36.5,4.63
150,viedma,92,AR,1554358809,48,-40.81,-62.99,64.76,4.74
151,hamilton,20,BM,1554358580,68,32.3,-64.78,64.4,8.05
152,batagay,0,RU,1554359311,65,67.65,134.64,34.52,4.18
153,mago,88,RU,1554359311,82,53.27,140.15,32.9,8.32
154,cap-aux-meules,0,CA,1554359221,88,47.38,-61.86,32.18,46.91
155,lompoc,1,US,1554359093,93,34.64,-120.46,57.0,2.95
156,iqaluit,20,CA,1554358325,58,63.75,-68.52,-2.21,6.93
157,nantucket,1,US,1554359043,33,41.28,-70.1,44.6,21.92
158,laguna,20,MX,1554358929,69,27.52,-110.01,58.73,2.17
159,kodiak,75,US,1554359026,34,39.95,-94.76,52.0,17.22
160,fairbanks,1,US,1554359133,41,64.84,-147.72,21.2,12.75
161,poum,75,MK,1554357600,81,41.28,20.71,46.4,2.24
162,harper,90,US,1554359286,93,30.3,-99.24,64.99,8.05
163,port elizabeth,1,US,1554359194,31,39.31,-74.98,53.01,3.36
164,great falls,90,US,1554358808,57,47.5,-111.29,48.99,12.75
165,lithakia,40,GR,1554359143,93,37.72,20.83,60.01,7.09
166,khash,8,IR,1554359314,29,28.22,61.21,77.09,4.85
167,aklavik,90,CA,1554354000,84,68.22,-135.01,-0.41,3.36
168,normandin,90,CA,1554354000,58,48.84,-72.53,26.6,17.22
169,saint-pierre,0,FR,1554358942,93,48.95,4.24,39.2,9.17
170,alghero,75,IT,1554359284,93,40.56,8.32,52.0,3.36
171,storforshei,75,NO,1554357000,95,66.4,14.52,32.0,2.24
172,zenzeli,12,RU,1554359315,85,45.92,47.05,45.59,9.78
173,kurilsk,64,RU,1554359316,89,45.23,147.88,31.64,22.3
174,bakel,44,SN,1554359316,41,14.9,-12.46,79.7,14.92
175,santiago del estero,0,AR,1554359266,93,-27.8,-64.26,70.34,5.97
176,faya,0,SA,1554354000,68,18.39,42.45,64.4,11.41
177,buala,24,SB,1554358957,81,-8.15,159.59,85.73,7.2
178,vila,75,IT,1554359302,87,45.18,8.4,54.0,18.34
179,capitan bado,88,PY,1554359317,91,-23.27,-55.53,74.66,6.76
180,geraldton,20,CA,1554354000,66,49.72,-86.95,10.4,5.41
181,kapit,20,MY,1554359318,68,2.02,112.94,86.27,2.95
182,buinsk,32,RU,1554359318,94,54.97,48.29,30.74,13.69
183,olinda,75,EC,1554359118,83,-2.03,-79.75,78.8,6.93
184,pavullo nel frignano,40,IT,1554359290,81,44.33,10.84,59.0,11.41
185,isiro,36,CD,1554359319,87,2.77,27.62,76.82,2.95
186,tautira,40,PF,1554358345,78,-17.73,-149.15,82.4,3.36
187,avare,12,BR,1554359319,89,-23.1,-48.93,68.9,2.84
188,castro,75,CL,1554357600,70,-42.48,-73.76,46.4,10.29
189,ocampo,76,PH,1554359320,86,13.56,123.37,80.78,8.21
190,tiarei,40,PF,1554358345,78,-17.53,-149.33,82.4,3.36
191,kalanguy,80,RU,1554359321,46,51.01,116.52,33.98,19.28
192,qandala,36,SO,1554359321,53,11.47,49.87,83.57,0.94
193,cheney,75,US,1554359219,75,47.49,-117.58,50.0,8.05
194,little current,40,CA,1554358608,79,45.98,-81.93,24.8,5.82
195,bitung,40,ID,1554357600,59,1.44,125.19,91.4,9.17
196,talara,44,PE,1554359215,82,-4.58,-81.27,71.87,3.62
197,puerto escondido,0,MX,1554359322,100,15.86,-97.07,82.4,7.09
198,namatanai,76,PG,1554359078,100,-3.66,152.44,80.51,6.64
199,anadyr,0,RU,1554358350,85,64.73,177.51,24.8,9.44
200,cidreira,0,BR,1554359234,95,-30.17,-50.22,68.9,2.73
201,port lincoln,8,AU,1554359166,63,-34.72,135.86,78.17,8.32
202,hami,0,CN,1554359103,37,42.84,93.51,74.21,4.63
203,meridian,1,US,1554357480,81,32.36,-88.7,51.8,6.2
204,yumen,0,CN,1554359154,31,40.29,97.04,64.94,7.99
205,san antonio,40,CL,1554357600,100,-33.58,-71.61,55.4,2.24
206,bemidji,1,US,1554359026,78,47.48,-94.89,26.6,2.84
207,skokie,90,US,1554359306,81,42.03,-87.73,48.99,1.95
208,ola,80,RU,1554359327,83,59.58,151.3,35.78,16.37
209,axim,8,GH,1554359185,100,4.87,-2.24,82.4,9.66
210,nome,90,US,1554359182,82,30.04,-94.42,66.2,9.17
211,saskylakh,44,RU,1554359037,94,71.97,114.09,29.93,10.22
212,kasempa,8,ZM,1554359328,65,-13.46,25.83,64.67,9.55
213,rauma,44,FI,1554357000,48,61.13,21.5,42.8,9.17
214,lumphat,92,KH,1554359328,82,13.5,106.97,79.07,2.73
215,tuatapere,80,NZ,1554358804,65,-46.13,167.69,53.01,4.0
216,vardo,1,US,1554358983,33,39.62,-77.74,46.4,4.7
217,tamandare,20,BR,1554359329,89,-8.28,-70.75,77.54,5.19
218,mehamn,75,NO,1554357000,79,71.03,27.85,32.0,11.41
219,chalus,40,IR,1554354000,82,36.66,51.42,55.4,2.24
220,kaeo,44,NZ,1554358085,78,-35.1,173.78,64.0,6.87
221,los llanos de aridane,20,ES,1554358860,67,28.66,-17.92,60.8,6.93
222,zhuji,75,CN,1554359113,82,29.72,120.23,60.01,4.47
223,okhotsk,80,RU,1554359041,60,59.36,143.24,40.19,4.97
224,vallenar,0,CL,1554359332,86,-28.58,-70.76,50.99,0.72
225,saint-francois,75,FR,1554358603,93,46.42,3.91,35.6,3.36
226,ostrovnoy,56,RU,1554358863,92,68.05,39.51,29.39,17.16
227,sioux lookout,5,CA,1554354000,84,50.1,-91.92,17.6,2.51
228,mitu,20,IR,1554359332,74,36.2,46.09,45.77,2.95
229,sibolga,32,ID,1554359333,86,1.74,98.78,79.52,2.73
230,clyde river,90,CA,1554357600,71,70.47,-68.59,6.8,19.46
231,namtsy,0,RU,1554355800,41,62.72,129.66,39.2,6.71
232,mount gambier,24,AU,1554354000,31,-37.83,140.78,78.8,10.29
233,vila velha,75,BR,1554357600,88,-3.71,-38.6,77.0,5.82
234,muskegon,1,US,1554359272,69,43.23,-86.25,44.6,9.44
235,deer lake,90,CA,1554357600,80,49.18,-57.43,41.0,24.16
236,katangli,88,RU,1554359335,89,51.71,143.23,32.63,22.3
237,quelimane,75,MZ,1554357600,83,-17.88,36.89,77.0,5.82
238,teguldet,0,RU,1554359335,45,57.31,88.17,38.21,3.4
239,kamenka,92,RU,1554359336,97,53.19,44.05,31.82,14.25
240,liverpool,0,GB,1554359194,99,53.41,-2.98,37.0,12.75
241,ishigaki,75,JP,1554354000,88,24.34,124.16,71.6,12.75
242,seoul,1,KR,1554358800,21,37.57,126.98,62.6,3.36
243,umm lajj,0,SA,1554359337,61,25.02,37.27,75.29,6.64
244,ambon,40,FR,1554359305,93,47.55,-2.56,46.0,3.36
245,stokmarknes,20,NO,1554358591,55,68.56,14.91,34.0,20.8
246,shibganj,0,BD,1554359337,71,25.01,89.36,84.74,7.31
247,tasiilaq,0,GL,1554357000,85,65.61,-37.64,24.8,16.11
248,matagami,0,NG,1554359338,25,9.67,8.4,72.14,8.99
249,puerto ayacucho,12,CO,1554359338,75,5.66,-67.63,72.68,2.17
250,fortuna,40,ES,1554358788,62,38.18,-1.13,57.2,8.05
251,portree,0,GB,1554358604,78,57.41,-6.19,39.99,10.0
252,rockport,90,US,1554359299,88,28.02,-97.05,71.6,11.41
253,kuito,0,AO,1554359339,70,-12.38,16.94,61.61,6.76
254,ternate,20,PH,1554358952,46,14.29,120.72,93.2,13.87
255,carnarvon,0,ZA,1554359115,29,-30.97,22.13,47.84,3.06
256,krasnyy bogatyr,44,RU,1554359340,81,56.01,41.13,32.27,12.68
257,kruisfontein,44,ZA,1554359094,74,-34.0,24.73,63.41,17.6
258,touros,0,BR,1554354000,94,-5.2,-35.46,75.2,4.7
259,kota kinabalu,75,MY,1554357600,66,5.98,116.07,91.4,9.17
260,osoyoos,1,CA,1554359302,50,49.03,-119.47,51.8,3.36
261,vostok,68,RU,1554359341,51,46.45,135.83,42.17,2.84
262,coromandel,24,NZ,1554359274,77,-36.76,175.5,66.0,11.41
263,segou,32,SN,1554359342,46,12.41,-12.29,79.16,7.87
264,manama,0,AE,1554357600,20,25.33,56.02,96.8,4.7
265,tuktoyaktuk,75,CA,1554354000,83,69.44,-133.03,-4.01,9.17
266,karoi,0,ZW,1554359056,55,-16.82,29.68,68.9,8.1
267,jacobina,24,BR,1554359343,93,-11.19,-40.51,66.38,3.96
268,ilhabela,0,BR,1554359128,95,-23.78,-45.36,76.37,10.11
269,bidor,75,MY,1554357600,63,4.11,101.29,93.2,2.24
270,torbay,90,CA,1554358614,100,47.66,-52.73,41.0,34.45
271,dauphin,1,CA,1554357600,79,51.15,-100.04,26.6,9.17
272,rabo de peixe,75,PT,1554359185,82,37.8,-25.58,55.4,9.17
273,kaputa,20,ZM,1554359345,90,-8.47,29.66,69.26,2.28
274,atar,80,MR,1554359208,84,20.52,-13.05,58.82,6.31
275,victoria,75,BN,1554357600,62,5.28,115.24,89.6,5.82
276,kitui,92,KE,1554359345,100,-1.37,38.02,68.09,4.52
277,rocha,0,UY,1554359346,94,-34.48,-54.34,57.92,6.76
278,kenora,1,CA,1554358326,57,49.76,-94.48,19.4,3.36
279,manthani,56,IN,1554359346,40,18.65,79.67,95.27,6.42
280,puerto baquerizo moreno,92,EC,1554359347,100,-0.9,-89.6,80.33,5.86
281,nishihara,20,JP,1554359321,36,35.74,139.53,64.99,10.29
282,half moon bay,90,US,1554359255,82,37.46,-122.43,57.2,8.05
283,sitka,20,US,1554358523,86,37.17,-99.65,48.99,16.49
284,ghioroiu,0,RO,1554357724,60,44.69,23.84,44.01,16.11
285,ampanihy,0,MG,1554359233,56,-24.69,44.75,81.41,4.52
286,bulz,0,RO,1554357600,57,46.91,22.68,48.2,5.82
287,bonavista,92,CA,1554358535,85,48.65,-53.11,39.99,4.0
288,manuk mangkaw,64,PH,1554359349,100,4.8,119.85,84.2,6.42
289,ocos,75,GT,1554356460,94,14.51,-92.19,77.0,5.82
290,iberia,8,PE,1554359349,94,-11.41,-69.49,73.31,1.95
291,constitucion,0,MX,1554358816,48,23.99,-104.67,57.0,3.0
292,shahrud,0,IR,1554359350,42,36.42,54.97,60.17,3.62
293,esperance,20,TT,1554359106,94,10.24,-61.45,77.0,5.82
294,lebu,48,ET,1554359116,75,8.96,38.73,61.61,3.74
295,teahupoo,40,PF,1554358345,78,-17.83,-149.27,82.4,3.36
296,tchamba,0,TG,1554359351,80,9.03,1.42,74.21,6.87
297,mingyue,92,CN,1554359351,91,43.11,128.91,43.52,4.18
298,sretensk,88,RU,1554359352,40,52.24,117.7,37.85,8.43
299,flin flon,68,CA,1554359181,62,54.77,-101.88,20.66,7.54
300,lagoa,0,PT,1554359076,70,37.14,-8.45,46.4,10.29
301,saint anthony,1,US,1554359109,75,43.97,-111.68,44.6,12.75
302,kavieng,92,PG,1554359175,100,-2.57,150.8,78.35,2.06
303,storsteinnes,40,NO,1554358800,74,69.24,19.23,30.2,14.99
304,penzance,75,GB,1554359101,93,50.12,-5.53,45.0,20.8
305,thinadhoo,0,MV,1554359353,100,0.53,72.93,83.39,4.97
306,pacific grove,90,US,1554359341,76,36.62,-121.92,57.2,4.7
307,east london,0,ZA,1554357900,64,-33.02,27.91,75.2,6.64
308,parnu-jaagupi,0,EE,1554358688,33,58.61,24.51,46.4,4.7
309,kodinar,0,IN,1554359354,28,20.79,70.7,100.4,1.95
310,ikongo,92,MG,1554359355,98,-21.88,47.44,68.99,3.96
311,shahr-e babak,20,IR,1554359355,100,30.12,55.12,57.83,7.76
312,kamaishi,75,JP,1554357600,57,39.28,141.86,51.8,4.7
313,hofn,12,IS,1554359078,100,64.25,-15.21,33.26,2.06
314,yaring,20,TH,1554357600,62,6.87,101.37,89.6,11.41
315,kurumkan,56,RU,1554359356,62,54.33,110.32,21.92,2.95
316,zary,0,PL,1554358950,67,51.64,15.14,51.01,4.0
317,mount isa,40,AU,1554357600,31,-20.73,139.49,91.4,5.82
318,angoche,12,MZ,1554359357,100,-16.23,39.91,80.06,6.76
319,anapoima,75,CO,1554357600,93,4.55,-74.54,55.4,4.7
320,khilok,76,RU,1554359357,28,51.36,110.46,30.11,9.66
321,yar-sale,92,RU,1554359319,100,66.83,70.83,27.68,6.08
322,kavaratti,0,IN,1554359111,100,10.57,72.64,85.1,3.51
323,paka,0,HR,1554357600,50,45.29,18.06,51.8,16.11
324,klaksvik,92,FO,1554357000,99,62.23,-6.59,39.2,4.7
325,vanavara,80,RU,1554359239,59,60.35,102.28,28.58,8.99
326,talnakh,88,RU,1554359176,95,69.49,88.39,20.84,8.88
327,beloha,0,MG,1554359359,60,-25.17,45.06,81.95,7.54
328,okato,8,NZ,1554359210,65,-39.19,173.88,60.01,1.01
329,heihe,40,RU,1554355800,24,50.24,127.51,46.4,8.95
330,dwarka,0,IN,1554358507,25,28.58,77.04,96.8,4.7
331,amga,32,RU,1554359360,48,60.89,131.98,38.03,3.62
332,hirara,75,JP,1554354000,73,24.8,125.28,75.2,19.46
333,calama,40,CL,1554357600,66,-22.46,-68.93,48.2,14.99
334,meadow lake,8,CA,1554359361,70,54.13,-108.44,31.55,8.43
335,parana,90,BR,1554354000,100,-7.52,-72.89,77.0,2.24
336,manacor,40,ES,1554359170,71,39.57,3.21,54.0,5.82
337,ahipara,100,NZ,1554359115,82,-35.17,173.16,66.74,6.31
338,corinto,88,BR,1554359362,67,-18.36,-44.46,75.92,5.53
339,margate,0,AU,1554358881,42,-43.03,147.26,62.6,12.75
340,gold coast,92,AU,1554359061,67,-28.0,153.41,79.0,4.0
341,ballina,75,IE,1554358924,100,54.11,-9.15,39.99,6.93
342,muswellbrook,92,AU,1554358808,69,-32.27,150.89,72.0,1.99
343,gweru,0,ZW,1554359363,82,-19.46,29.82,60.44,7.54
344,oistins,40,BB,1554357600,78,13.07,-59.53,77.0,19.46
345,lianzhou,92,CN,1554359364,98,24.79,112.38,58.82,2.95
346,ca mau,68,VN,1554359364,80,9.18,105.15,87.26,6.64
347,sao filipe,12,CV,1554359197,100,14.9,-24.5,68.99,16.82
348,dawlatabad,92,AF,1554359365,81,36.41,64.91,67.46,8.43
349,sovetskiy,0,RU,1554359365,95,56.76,48.47,28.22,11.34
350,north bend,90,US,1554359123,87,43.41,-124.22,51.8,2.17
351,tunceli,75,TR,1554357000,87,39.11,39.55,45.0,3.36
352,sao domingos,20,BR,1554359366,85,-13.4,-46.32,70.97,5.08
353,deputatskiy,0,RU,1554359025,84,69.3,139.9,27.32,4.74
354,langfang,0,CN,1554359115,15,39.51,116.7,84.99,13.42
355,saiha,0,IN,1554359367,38,22.49,92.98,85.28,2.39
356,poso,24,ID,1554359367,100,-1.4,120.75,82.13,5.64
357,richards bay,20,ZA,1554359139,84,-28.77,32.06,72.5,12.68
358,omsukchan,88,RU,1554359368,82,62.53,155.8,28.04,7.43
359,chapais,90,CA,1554355860,78,49.78,-74.86,12.2,20.8
360,srednekolymsk,0,RU,1554359207,76,67.46,153.71,34.43,3.51
361,muyezerskiy,80,RU,1554359368,74,63.93,31.65,36.5,9.89
362,shaunavon,92,CA,1554359369,67,49.65,-108.41,43.52,9.78
363,mananjary,0,MG,1554359369,98,-19.16,46.8,68.63,5.64
364,siuna,80,NI,1554359369,94,13.73,-84.78,72.14,2.73
365,mkushi,0,ZM,1554359370,64,-13.61,29.4,65.3,8.21
366,anloga,20,GH,1554354000,88,5.79,0.9,82.4,9.17
367,paamiut,80,GL,1554359370,93,61.99,-49.67,30.56,18.84
368,szubin,0,PL,1554359337,42,53.01,17.74,50.0,11.41
369,delta del tigre,20,UY,1554358565,87,-34.76,-56.41,63.0,4.7
370,praia da vitoria,40,PT,1554358537,82,38.73,-27.07,55.4,23.09
371,bathsheba,40,BB,1554357600,78,13.22,-59.52,77.0,19.46
372,lokosovo,24,RU,1554359372,77,61.13,74.84,34.52,9.44
373,norfolk,1,US,1554359264,66,36.85,-76.29,55.4,4.7
374,souillac,75,FR,1554358935,67,45.6,-0.6,36.0,3.36
375,san quintin,20,PH,1554359373,74,17.54,120.52,81.59,3.4
376,aksu,0,KZ,1554357600,54,52.04,76.93,57.2,11.18
377,umm kaddadah,0,SD,1554359211,16,13.6,26.69,71.15,8.55
378,saint-augustin,24,FR,1554359062,93,44.83,-0.61,41.0,5.82
379,imeni babushkina,0,RU,1554359374,79,59.76,43.13,31.37,3.18
380,garbolovo,0,RU,1554359136,41,60.34,30.5,41.0,4.47
381,chokurdakh,0,RU,1554359072,94,70.62,147.9,19.58,4.63
382,kromy,36,RU,1554359375,70,52.69,35.77,33.8,9.78
383,brigantine,1,US,1554359361,48,39.41,-74.36,53.01,3.36
384,pisco,75,PE,1554357600,88,-13.71,-76.2,69.8,9.17
385,saldanha,0,PT,1554359100,89,41.42,-6.55,28.04,4.18
386,tiznit,92,MA,1554359195,97,29.7,-9.73,55.94,4.97
387,amapa,40,HN,1554354000,78,15.09,-87.97,80.6,8.05
