Date,TotalTrips,TotalTraveledMiles,TotalMembers,Total24hrPasses,Total3DayPasses
5/2/19,68714,115573,308575,3763,171
5/3/19,62410,100885,308738,3452,151
5/4/19,56025,114113,308919,7286,110
5/5/19,16169,25232,308988,802,16
5/6/19,69920,121887,309187,4178,166
5/7/19,72829,126637,309356,4055,124
5/8/19,76398,130821,309530,4255,131
5/9/19,66689,105721,309646,2851,130
5/10/19,68044,114830,309790,4427,163
5/11/19,69788,153674,310021,10581,133
5/12/19,10730,15759,310063,475,9
5/13/19,22300,29434,310141,553,19
5/14/19,42783,61756,310248,1301,73
5/15/19,74314,129217,310395,4484,140
5/16/19,77889,139278,310590,5354,174
5/17/19,72118,126992,310760,5124,167
5/18/19,73143,162302,310992,11292,227
5/19/19,69920,154638,311245,10321,193
5/20/19,74494,133696,311495,5225,173
5/21/19,79261,139284,311686,5088,160
5/22/19,82021,144186,311888,5431,153
5/23/19,56578,93244,312082,3527,121
5/24/19,74866,141169,312276,7322,245
5/25/19,59492,136772,312484,10682,279
5/26/19,49950,118192,312648,9325,145
5/27/19,66595,160750,312896,12124,136
5/28/19,59435,97330,313092,2992,96
5/29/19,55098,87647,313251,2952,111
5/30/19,52484,84325,313402,2831,129
5/31/19,83347,156832,313606,7586,261
6/1/19,76416,164956,313815,12153,214
6/2/19,67288,147247,314051,10419,144
6/3/19,77678,141960,314327,6027,152
6/4/19,83301,150076,314642,6422,168
6/5/19,78791,134998,314889,5166,143
6/6/19,81323,143619,315121,6138,183
6/7/19,82908,150312,315337,7530,256
6/8/19,78074,175352,315583,13831,206
6/9/19,73954,167597,315861,12833,121
6/10/19,37019,54769,316007,1566,44
